[Mon Aug 04 18:49:10.555231 2025] [php:error] [pid 1716:tid 1188] [client ::1:56260] script 'C:/MyServer/www/info.php' not found or unable to stat, referer: http://localhost/
[Tue Aug 05 01:02:28.219693 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\eio_busy(): Implicitly marking parameter $callback as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\eio.php on line 22
[Tue Aug 05 01:02:28.219693 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\eio_chmod(): Implicitly marking parameter $callback as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\eio.php on line 74
[Tue Aug 05 01:02:28.219693 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\eio_chown(): Implicitly marking parameter $callback as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\eio.php on line 126
[Tue Aug 05 01:02:28.219693 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\eio_close(): Implicitly marking parameter $callback as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\eio.php on line 175
[Tue Aug 05 01:02:28.219693 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\eio_dup2(): Implicitly marking parameter $callback as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\eio.php on line 283
[Tue Aug 05 01:02:28.219693 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\eio_fallocate(): Implicitly marking parameter $callback as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\eio.php on line 355
[Tue Aug 05 01:02:28.219693 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\eio_fchmod(): Implicitly marking parameter $callback as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\eio.php on line 405
[Tue Aug 05 01:02:28.219693 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\eio_fdatasync(): Implicitly marking parameter $callback as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\eio.php on line 453
[Tue Aug 05 01:02:28.219693 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\eio_fsync(): Implicitly marking parameter $callback as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\eio.php on line 607
[Tue Aug 05 01:02:28.219693 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\eio_ftruncate(): Implicitly marking parameter $callback as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\eio.php on line 658
